# R R+Rpin delfE fE_homo Volume Area
2 9.61905 -13284.5 -0.989903 13430.3 933.53
4 11.619 -16082.9 -0.989903 16257.7 1162.72
6 13.619 -18880.8 -0.989903 19085.2 1417.04
8 15.619 -21678.3 -0.989903 21912.6 1696.49
10 17.619 -24475.7 -0.989903 24740 2001.07
12 19.619 -27273 -0.989903 27567.5 2330.79
14 21.619 -30070.3 -0.989903 30394.9 2685.64
16 23.619 -32867.5 -0.989903 33222.3 3065.62
18 25.619 -35664.8 -0.989903 36049.7 3470.74
20 27.619 -38462 -0.989903 38877.2 3900.99
22 29.619 -41259.3 -0.989903 41704.6 4356.37
24 31.619 -44056.5 -0.989903 44532 4836.88
26 33.619 -46853.7 -0.989903 47359.5 5342.53
28 35.619 -49651 -0.989903 50186.9 5873.31
30 37.619 -52448.2 -0.989903 53014.3 6429.22
32 39.619 -55245.5 -0.989903 55841.8 7010.26
34 41.619 -58042.7 -0.989903 58669.2 7616.44
36 43.619 -60839.9 -0.989903 61496.6 8247.75
38 45.619 -63637.2 -0.989903 64324.1 8904.19
40 47.619 -66434.4 -0.989903 67151.5 9585.77
42 49.619 -69231.6 -0.989903 69978.9 10292.5
44 51.619 -72028.9 -0.989903 72806.3 11024.3
46 53.619 -74826.1 -0.989903 75633.8 11781.3
48 55.619 -77623.4 -0.989903 78461.2 12563.4
50 57.619 -80420.6 -0.989903 81288.6 13370.6
52 59.619 -83217.8 -0.989903 84116.1 14203
54 61.619 -86015.1 -0.989903 86943.5 15060.5
56 63.619 -88812.3 -0.989903 89770.9 15943.1
58 65.619 -91609.6 -0.989903 92598.4 16850.9
60 67.619 -94406.8 -0.989903 95425.8 17783.8
62 69.619 -97204 -0.989903 98253.2 18741.9
64 71.619 -100001 -0.989903 101081 19725
66 73.619 -102799 -0.989903 103908 20733.3
68 75.619 -105596 -0.989903 106736 21766.8
70 77.619 -108393 -0.989903 109563 22825.3
72 79.619 -111190 -0.989903 112390 23909
74 81.619 -113987 -0.989903 115218 25017.9
76 83.619 -116785 -0.989903 118045 26151.8
78 85.619 -119582 -0.989903 120873 27310.9
80 87.619 -122379 -0.989903 123700 28495.1
82 89.619 -125176 -0.989903 126528 29704.5
84 91.619 -127974 -0.989903 129355 30939
86 93.619 -130771 -0.989903 132182 32198.6
88 95.619 -133568 -0.989903 135010 33483.4
90 97.619 -136365 -0.989903 137837 34793.3
92 99.619 -139163 -0.989903 140665 36128.3
94 101.619 -141960 -0.989903 143492 37488.5
96 103.619 -144757 -0.989903 146320 38873.8
98 105.619 -147554 -0.989903 149147 40284.2
100 107.619 -150352 -0.989903 151974 41719.7
102 109.619 -153149 -0.989903 154802 43180.4
104 111.619 -155946 -0.989903 157629 44666.3
106 113.619 -158743 -0.989903 160457 46177.2
108 115.619 -161541 -0.989903 163284 47713.3
110 117.619 -164338 -0.989903 166112 49274.5
112 119.619 -167135 -0.989903 168939 50860.9
114 121.619 -169932 -0.989903 171766 52472.4
116 123.619 -172729 -0.989903 174594 54109
118 125.619 -175527 -0.989903 177421 55770.7
120 127.619 -178324 -0.989903 180249 57457.6
122 129.619 -181121 -0.989903 183076 59169.6
124 131.619 -183918 -0.989903 185904 60906.8
126 133.619 -186716 -0.989903 188731 62669.1
128 135.619 -189513 -0.989903 191558 64456.5
130 137.619 -192310 -0.989903 194386 66269
132 139.619 -195107 -0.989903 197213 68106.7
134 141.619 -197905 -0.989903 200041 69969.5
136 143.619 -200702 -0.989903 202868 71857.5
138 145.619 -203499 -0.989903 205696 73770.5
140 147.619 -206296 -0.989903 208523 75708.8
142 149.619 -209094 -0.989903 211350 77672.1
144 151.619 -211891 -0.989903 214178 79660.6
146 153.619 -214688 -0.989903 217005 81674.2
148 155.619 -217485 -0.989903 219833 83712.9
150 157.619 -220283 -0.989903 222660 85776.8
152 159.619 -223080 -0.989903 225488 87865.8
154 161.619 -225877 -0.989903 228315 89980
156 163.619 -228674 -0.989903 231142 92119.2
158 165.619 -231471 -0.989903 233970 94283.6
160 167.619 -234269 -0.989903 236797 96473.2
162 169.619 -237066 -0.989903 239625 98687.8
164 171.619 -239863 -0.989903 242452 100928
166 173.619 -242660 -0.989903 245280 103193
168 175.619 -245458 -0.989903 248107 105483
170 177.619 -248255 -0.989903 250935 107798
172 179.619 -251052 -0.989903 253762 110138
174 181.619 -253849 -0.989903 256589 112504
176 183.619 -256647 -0.989903 259417 114894
178 185.619 -259444 -0.989903 262244 117310
180 187.619 -262241 -0.989903 265072 119751
182 189.619 -265038 -0.989903 267899 122217
184 191.619 -267836 -0.989903 270727 124708
186 193.619 -270633 -0.989903 273554 127224
188 195.619 -273430 -0.989903 276381 129766
190 197.619 -276227 -0.989903 279209 132332
192 199.619 -279025 -0.989903 282036 134924
