# R R+Rpin delfE fE_homo Volume Area
2 9.61905 -13195.6 -0.989903 13430.3 290.679
4 11.619 -15973.9 -0.989903 16257.7 424.122
6 13.619 -18752.1 -0.989903 19085.2 582.697
8 15.619 -21530.1 -0.989903 21912.6 766.405
10 17.619 -24308 -0.989903 24740 975.246
12 19.619 -27085.9 -0.989903 27567.5 1209.22
14 21.619 -29863.8 -0.989903 30394.9 1468.33
16 23.619 -32641.6 -0.989903 33222.3 1752.57
18 25.619 -35419.4 -0.989903 36049.7 2061.94
20 27.619 -38197.2 -0.989903 38877.2 2396.44
22 29.619 -40974.9 -0.989903 41704.6 2756.08
24 31.619 -43752.7 -0.989903 44532 3140.85
26 33.619 -46530.5 -0.989903 47359.5 3550.75
28 35.619 -49308.3 -0.989903 50186.9 3985.79
30 37.619 -52086.1 -0.989903 53014.3 4445.96
32 39.619 -54863.9 -0.989903 55841.8 4931.26
34 41.619 -57641.6 -0.989903 58669.2 5441.69
36 43.619 -60419.4 -0.989903 61496.6 5977.26
38 45.619 -63197.2 -0.989903 64324.1 6537.96
40 47.619 -65975 -0.989903 67151.5 7123.79
42 49.619 -68752.8 -0.989903 69978.9 7734.75
44 51.619 -71530.6 -0.989903 72806.3 8370.85
46 53.619 -74308.4 -0.989903 75633.8 9032.08
48 55.619 -77086.2 -0.989903 78461.2 9718.44
50 57.619 -79864 -0.989903 81288.6 10429.9
52 59.619 -82641.8 -0.989903 84116.1 11166.6
54 61.619 -85419.6 -0.989903 86943.5 11928.3
56 63.619 -88197.4 -0.989903 89770.9 12715.2
58 65.619 -90975.2 -0.989903 92598.4 13527.2
60 67.619 -93753 -0.989903 95425.8 14364.4
62 69.619 -96530.9 -0.989903 98253.2 15226.7
64 71.619 -99308.7 -0.989903 101081 16114.1
66 73.619 -102086 -0.989903 103908 17026.7
68 75.619 -104864 -0.989903 106736 17964.4
70 77.619 -107642 -0.989903 109563 18927.2
72 79.619 -110420 -0.989903 112390 19915.1
74 81.619 -113198 -0.989903 115218 20928.2
76 83.619 -115976 -0.989903 118045 21966.5
78 85.619 -118753 -0.989903 120873 23029.8
80 87.619 -121531 -0.989903 123700 24118.3
82 89.619 -124309 -0.989903 126528 25231.9
84 91.619 -127087 -0.989903 129355 26370.7
86 93.619 -129865 -0.989903 132182 27534.5
88 95.619 -132642 -0.989903 135010 28723.6
90 97.619 -135420 -0.989903 137837 29937.7
92 99.619 -138198 -0.989903 140665 31177
94 101.619 -140976 -0.989903 143492 32441.4
96 103.619 -143754 -0.989903 146320 33731
98 105.619 -146531 -0.989903 149147 35045.6
100 107.619 -149309 -0.989903 151974 36385.5
102 109.619 -152087 -0.989903 154802 37750.4
104 111.619 -154865 -0.989903 157629 39140.5
106 113.619 -157643 -0.989903 160457 40555.7
108 115.619 -160420 -0.989903 163284 41996
110 117.619 -163198 -0.989903 166112 43461.5
112 119.619 -165976 -0.989903 168939 44952.1
114 121.619 -168754 -0.989903 171766 46467.9
116 123.619 -171532 -0.989903 174594 48008.7
118 125.619 -174310 -0.989903 177421 49574.7
120 127.619 -177087 -0.989903 180249 51165.9
122 129.619 -179865 -0.989903 183076 52782.2
124 131.619 -182643 -0.989903 185904 54423.6
126 133.619 -185421 -0.989903 188731 56090.1
128 135.619 -188199 -0.989903 191558 57781.8
130 137.619 -190976 -0.989903 194386 59498.6
132 139.619 -193754 -0.989903 197213 61240.5
134 141.619 -196532 -0.989903 200041 63007.6
136 143.619 -199310 -0.989903 202868 64799.8
138 145.619 -202088 -0.989903 205696 66617.1
140 147.619 -204865 -0.989903 208523 68459.6
142 149.619 -207643 -0.989903 211350 70327.2
144 151.619 -210421 -0.989903 214178 72219.9
146 153.619 -213199 -0.989903 217005 74137.8
148 155.619 -215977 -0.989903 219833 76080.8
150 157.619 -218755 -0.989903 222660 78048.9
152 159.619 -221532 -0.989903 225488 80042.2
154 161.619 -224310 -0.989903 228315 82060.6
156 163.619 -227088 -0.989903 231142 84104.1
158 165.619 -229866 -0.989903 233970 86172.8
160 167.619 -232644 -0.989903 236797 88266.6
162 169.619 -235421 -0.989903 239625 90385.5
164 171.619 -238199 -0.989903 242452 92529.6
166 173.619 -240977 -0.989903 245280 94698.7
168 175.619 -243755 -0.989903 248107 96893.1
170 177.619 -246533 -0.989903 250935 99112.5
172 179.619 -249310 -0.989903 253762 101357
174 181.619 -252088 -0.989903 256589 103627
176 183.619 -254866 -0.989903 259417 105922
178 185.619 -257644 -0.989903 262244 108242
180 187.619 -260422 -0.989903 265072 110587
182 189.619 -263199 -0.989903 267899 112957
184 191.619 -265977 -0.989903 270727 115352
186 193.619 -268755 -0.989903 273554 117773
188 195.619 -271533 -0.989903 276381 120219
190 197.619 -274311 -0.989903 279209 122689
192 199.619 -277089 -0.989903 282036 125185
