7 2013.38 2618.1 654.525 175.929
207 59938.1 78094.8 19523.7 5202.47
407 117867 153571 38392.9 10229
607 175795 229048 57262 15255.6
807 233724 304525 76131.2 20282.1
1007 291652 380002 95000.4 25308.6
1207 349581 455478 113870 30335.2
1407 407509 530955 132739 35361.7
1607 465438 606432 151608 40388.3
1807 523366 681908 170477 45414.8
2007 581295 757385 189346 50441.4
2207 639223 832862 208215 55467.9
2407 697152 908338 227085 60494.5
2607 755080 983815 245954 65521
2807 813009 1.05929e+06 264823 70547.5
3007 870937 1.13477e+06 283692 75574.1
3207 928866 1.21025e+06 302561 80600.6
3407 986794 1.28572e+06 321430 85627.2
