# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
8.11111 34426.9 34459.2 9852.03 206.686 0 -200 -4.4977
9.11111 38717.8 38766.6 11083.5 260.791 0 -200 -4.4977
10.1111 43008.7 43074 12315 321.179 0 -200 -4.4977
11.1111 47299.7 47381.3 13546.5 387.851 0 -200 -4.4977
12.1111 51590.6 51688.7 14778 460.805 0 -200 -4.4977
13.1111 55881.6 55996.1 16009.5 540.043 0 -200 -4.4977
14.1111 60172.6 60303.5 17241 625.564 0 -200 -4.4977
