# R R+Rpin delfE fE_homo Volume Area
0.01 7.75194 -10264.2 -0.989903 10617 188.786
2.01 9.75194 -12968.1 -0.989903 13444.4 298.766
4.01 11.7519 -15672 -0.989903 16271.9 433.879
6.01 13.7519 -18375.9 -0.989903 19099.3 594.124
8.01 15.7519 -21079.8 -0.989903 21926.7 779.502
10.01 17.7519 -23783.7 -0.989903 24754.2 990.013
12.01 19.7519 -26487.6 -0.989903 27581.6 1225.66
